2016,"Alcohol, abstainers lifetime (%)",,,abstainers 12 month,,,"Alcohol, consumers past 12 months (%)",,,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI",,
Country, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female
Ireland,7.4,3.5,11.2,18.7,10.5,26.9,81.3,89.5,73.1,40.5 [37.7-43.3],58.5 [55.2-61.6],22.6 [20.2-25.1]
Israel,24.4,13.4,34.9,45,31.1,58.4,55,68.9,41.6,18.4 [16.5-20.3],30.4 [27.5-33.4],6.4 [5.5-7.4]
Italy,27.4,15.1,38.8,32.2,18.8,45.6,67.8,81.2,54.4,25 [22.9-27.2],39.7 [36.7-42.7],10.3 [9.1-11.7]
Jamaica,40.8,26.3,54.9,65.1,52.6,77.4,34.9,47.4,22.6,14.7 [13.1-16.3],25 [22.5-27.4],4.6 [3.9-5.4]
Japan,9.1,4.3,13.7,43,28.7,56.3,57,71.3,43.7,28.7 [24.5-33],44.7 [38.9-50],12.6 [9.8-15.9]
Jordan,93.9,90.7,97.2,97,95.5,98.6,3,4.5,1.4,0.6 [0.4-0.7],1 [0.8-1.3],0.1 [0.1-0.1]
Kazakhstan,31.5,18.2,43.5,60.1,45.7,72.8,39.9,54.3,27.2,19.9 [18.3-21.5],33.3 [31-35.5],7.5 [6.6-8.5]
Kenya,63.1,49.2,76.9,76.1,66.2,86,23.9,33.8,14,10.3 [9.4-11.2],17.8 [16.4-19.1],2.9 [2.5-3.3]
Kiribati,70.5,57.7,82.4,87.9,81.9,93.5,12.1,18.1,6.5,6.7 [6.2-7.3],11.8 [11-12.6],2 [1.7-2.3]
Kuwait,97.9,97,99.1,99.4,99.2,99.8,0.6,0.8,0.2,0 [0-0],0 [0-0],0 [0-0]
Kyrgyzstan,46,30.8,60.4,74.1,63.2,84.5,25.9,36.8,15.5,11.1 [10.2-12.1],19.4 [17.8-20.9],3.2 [2.8-3.7]
Lao People's Democratic Republic,35.5,21.9,48.7,60,46.6,73,40,53.4,27,16.6 [15-18.2],28.1 [25.7-30.5],5.5 [4.7-6.4]
Latvia,10.2,4.6,14.8,25,13.5,34.5,75,86.5,65.5,50.2 [44.9-55.1],69.1 [64-73.4],32.9 [27.3-38.6]
