Country,id,Type,Drinks
Kazakhstan,398,Wine,6.5
Jordan,400,Wine,2.6
Kenya,404,Wine,1.8
North Korea,408,Wine,0
South Korea,410,Wine,1.9
Kuwait,414,Wine,
Kyrgyzstan,417,Wine,2.2
Laos,418,Wine,0
Lebanon,422,Wine,15.4
Lesotho,426,Wine,3.2
Latvia,428,Wine,11.1
Liberia,430,Wine,1.8
Libya,434,Wine,
Lithuania,440,Wine,7.3
Luxembourg,442,Wine,44.6
Madagascar,450,Wine,8.2
Malawi,454,Wine,0.8
Malaysia,458,Wine,21
Mali,466,Wine,1.2
Mauritania,478,Wine,
Mexico,484,Wine,2.1
Mongolia,496,Wine,1.9
Moldova,498,Wine,56.6
Montenegro,499,Wine,43.1
Morocco,504,Wine,39.8
Mozambique,508,Wine,8.3
Oman,512,Wine,2.8
Namibia,516,Wine,10.4
Nepal,524,Wine,49
Netherlands,528,Wine,35.8
New Caledonia,540,Wine,
Vanuatu,548,Wine,25.4
New Zealand,554,Wine,33.4
Nicaragua,558,Wine,0.8
Niger,562,Wine,13.7
Nigeria,566,Wine,0.4
Norway,578,Wine,36.7
Pakistan,586,Wine,
Panama,591,Wine,3.5
Papua New Guinea,598,Wine,2.7
Paraguay,600,Wine,17.4
Peru,604,Wine,8.1
Philippines,608,Wine,0.4
Poland,616,Wine,7.8
Portugal,620,Wine,61.5
Guinea-Bissau,624,Wine,31.3
Timor,626,Wine,32.4
Puerto Rico,630,Wine,
Qatar,634,Wine,10.2
Romania,642,Wine,28.1
Russia,643,Wine,12.8
Rwanda,646,Wine,0.2
Saudi Arabia,682,Wine,
Senegal,686,Wine,34.1
Serbia,688,Wine,42.5
Sierra Leone,694,Wine,1.1
Slovakia,703,Wine,20.9
Vietnam,704,Wine,0.8
Slovenia,705,Wine,50.6
Somalia,706,Wine,
South Africa,710,Wine,18.5
Zimbabwe,716,Wine,1.3
Spain,724,Wine,18
South Sudan,728,Wine,
Sudan,729,Wine,
Western Sahara,732,Wine,
Suriname,740,Wine,3.5
Swaziland,748,Wine,
Sweden,752,Wine,47.8
Switzerland,756,Wine,48.1
Syria,760,Wine,1.1
Tajikistan,762,Wine,0.7
Thailand,764,Wine,2.7
Togo,768,Wine,16
Trinidad and Tobago,780,Wine,3.3
United Arab Emirates,784,Wine,7.7
Tunisia,788,Wine,23.9
Turkey,792,Wine,8.6
Turkmenistan,795,Wine,35.1
Uganda,800,Wine,0.1
Ukraine,804,Wine,5.4
North Macedonia,807,Wine,46.6
Egypt,818,Wine,4.4
United Kingdom,826,Wine,35.7
Tanzania,834,Wine,0.4
United States,840,Wine,18.1
Burkina Faso,854,Wine,2.7
Uruguay,858,Wine,43.7
Uzbekistan,860,Wine,8.6
Venezuela,862,Wine,0.3
Yemen,887,Wine,0
Zambia,894,Wine,2.7
Afghanistan,4,Sprites,
Albania,8,Sprites,37.6
Antarctica,10,Sprites,
Algeria,12,Sprites,18.3
Angola,24,Sprites,11.3
Azerbaijan,31,Sprites,0
Argentina,32,Sprites,9.6
Australia,36,Sprites,12.9
Austria,40,Sprites,14.9
Bahamas,44,Sprites,41.2
Bangladesh,50,Sprites,
Armenia,51,Sprites,82.3
Belgium,56,Sprites,14.2
Bhutan,64,Sprites,49.6
Bolivia,68,Sprites,21.3
Bosnia and Herzegovina,70,Sprites,12.4
Botswana,72,Sprites,4.4
Brazil,76,Sprites,34.3
Belize,84,Sprites,26.7
