country,COVID cases/100k,deaths_per_100k,capital city latitude,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m
Canada,11680.086,126.601,45.41666667,3,6.3,32.1,1.6,42.4,1.6,82.2,0.928,44800,7.23210001,77,12.2,6,18.2,35.5,22.7,47.9,64.5,1.483685221,77.3,52.1,24.2,38.5,9.8,4.5,7.1,1.9,2,8.9,14,4.1,13.4,18.3,6.4,0.732,0.2915,0.7225,0.9435,0.9705,490.29537,223.6564,148.13789,652.76111,621.77661,259.66452,297.80487,35.63406,31.768059,268.28391,340.51254
Central African Republic,316.993,2.34,4.366666667,4.3,6.9,43.6,4.1,19.8,4.25,51.5,0.395,413,NaN,NaN,43.7,28.8,58,62.4,49.2,75.1,37.6,2.040160643,50.8,24.9,28.2,42.9,14.3,3.6,5.5,1.5,5,2.4,3.9,1,8.3,10.5,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chad,46.518,1.181,12.1,-3.1,NaN,43.3,-0.9,15.8,5.9,59.9,0.397,659,4.422699928,21,72.7,62.8,82.4,77.6,68.3,86.9,22.4,2.419847328,31.7,13.1,7.2,12.8,1.7,1.8,2.8,0.7,4,1.4,2.3,0.5,6.6,8.1,3.1,0.586,0.16,0.616,0.596,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chile,25711.877,326.514,33.45,1.5,6.7,50.5,2.2,34.8,1.79,80.1,0.849,13900,6.228499889,67,6.6,3.1,10.1,32.4,20,44.2,67.6,1.433691756,80,55.8,22.9,36.6,9.1,5.4,9,1.3,3,9.1,13.9,4.4,13.4,18.4,6.5,0.726,0.323,0.613,0.997,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
China,657.023,2.053,39.91666667,6.9,3.9,46.5,1.6,37.7,1.6,77.4,0.755,9690,5.123899937,42,42.1,29.1,55.6,44.1,31.4,57.4,55.9,1.610328638,68.6,42.6,23.6,37.1,9.2,3.8,6.1,1,2,7.1,10.9,3,12.7,16.7,5.8,0.682,0.1155,0.721,0.9545,0.9375,503,234,91,692,696,211,248,12,15,291,390
Colombia,12410.397,278.866,4.6,1.8,9.3,51.1,4.3,30.4,1.98,80.1,0.764,6270,6.163400173,39,26.4,14.8,37.3,61.7,48.3,74.4,38.3,2.01953125,51.7,25.6,15.4,26.3,4.9,5.1,7.8,1.5,3,5.7,9.3,2.4,14.7,18.8,6.7,0.7175,0.2155,0.6785,1,0.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Comoros,1030.933,18.399,11.7,2.7,6.5,55.9,1,20.2,3.21,68.5,0.552,1290,NaN,NaN,93.3,89.8,96.9,95.9,93.8,98.1,4.1,3.263157895,6.2,1.9,0.3,0.5,0,0.9,1.4,0.4,1,0.7,1.2,0.2,17.9,21.1,7.8,0.631,0.09,0.523,0.943,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Congo,454.397,6.995,4.25,-3.1,36,48.9,0.5,19.6,4.26,65,0.573,1840,NaN,NaN,29.7,17.4,41.8,48.3,34.5,62,51.7,1.723684211,65.5,38,41.7,58.2,25.4,8.3,12.4,3.7,5,9.3,14.6,4,14.1,18.5,6.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,22499.184,177.42,9.933333333,3.3,8.1,48.5,1.6,31.7,1.89,80,0.808,12500,7.121399879,57,27.9,16,39.6,63.4,50.5,76.1,36.6,2.071129707,49.5,23.9,14.5,24.5,4.4,4.1,6.2,1.2,2,4.9,7.8,2,12.5,15.8,5.6,0.791,0.555,0.6345,0.9995,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Croatia,30883.564,426.597,45.8,2.8,12.4,30.8,1.1,43.3,1.41,78.6,0.848,13300,5.504700184,47,18.5,9.4,26.8,40.3,26.1,53.2,59.7,1.579059829,73.9,46.8,32.1,49.1,15.2,6.1,10,2.4,3,9.2,14.7,4.2,14.2,19.4,6.7,0.733,0.294,0.666,0.995,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
